classid,classname,classstarttime,classendtime,classteacher,classlocation,classcost,classtotalstudent,classadddate,classavailable,classtag
261,EXO | LOVE SHOT,13:00,15:00,D,Studio 2,16,30,2/24/2024,yes,class03
262,BLACKPINK | DON'T KNOW WHAT TO DO,13:00,14:30,C,Studio 1,12,30,2/25/2024,yes,class02
263,IVE | LOVE DIVE (+ Dance Break),13:00,15:00,B,Studio 2,16,30,2/10/2024,yes,class03
264,NCT U | BABY DON'T STOP,13:00,15:00,B,Studio 2,16,30,2/25/2024,yes,class03
265,NMIXX | Dash,15:30,17:30,B,Studio 2,16,30,2/10/2024,yes,class03
266,NCT x  aespa | ZOO,19:30,21:30,A,Studio 2,16,30,2/28/2024,yes,class03
267,K-FIT | SEVENTEEN x RIIZE,12:00,13:00,C,Studio 2,10,20,2/7/2024,no,class08
268,K-FIT | LOVE SONGS,18:00,19:00,C,Studio 2,10,20,2/14/2024,no,class08
269,K-FIT | LOVE SONGS,12:00,13:00,C,Studio 2,10,20,2/14/2024,yes,class08
270,K-FIT | LOVE SONGS,11:00,12:00,C,Studio 1,10,15,2/17/2024,yes,class08
271,K-FIT | 2nd Gen Girl groups,12:00,13:00,C,Studio 2,10,20,2/21/2024,yes,class08
272,K-FIT | 2nd Gen Girl Groups,18:00,19:00,C,Studio 2,10,20,2/21/2024,yes,class08
273,K-FIT | 2nd Gen Girl Groups,11:00,12:00,C,Studio 2,10,20,2/24/2024,yes,class08
274,A CHOREO,19:30,21:00,A,Studio 2,12,20,2/8/2024,yes,class07
275,TWS | ‘첫 만남은 계획대로 되지 않아’ (plot twist),19:30,21:30,D,Studio 2,16,30,2/21/2024,yes,class03
276,A CHOREO,19:30,21:00,A,Studio 2,12,20,2/22/2024,yes,class07
277,LE SSERAFIM | PERFECT NIGHT,13:00,14:30,C,Studio 2,12,20,2/4/2024,yes,class02
278,C CHOREO,19:30,21:00,C,Studio 2,12,20,2/16/2024,yes,class07
